run_id,turn,unit_type,unit_id,I_count,E_count
3,6,community,1,2.0,6.0
3,6,community,2,2.0,4.0
3,6,community,3,8.0,4.0
3,6,department,0,14.0,0.0
3,6,department,1,14.0,0.0
3,7,community,0,8.0,2.0
3,7,community,1,4.0,2.0
3,7,community,2,4.0,4.0
3,7,community,3,6.0,4.0
3,7,department,0,14.0,0.0
3,7,department,1,14.0,0.0
3,8,community,0,6.0,2.0
3,8,community,1,6.0,2.0
3,8,community,2,6.0,2.0
3,8,community,3,6.0,2.0
3,8,department,0,14.0,0.0
3,8,department,1,14.0,0.0
4,1,community,0,6.0,8.0
4,1,community,1,2.0,2.0
4,1,community,2,8.0,6.0
4,1,community,3,2.0,4.0
4,1,department,0,12.0,4.0
4,1,department,1,12.0,4.0
4,2,community,0,6.0,4.0
4,2,community,1,4.0,2.0
4,2,community,2,8.0,2.0
4,2,community,3,4.0,4.0
4,2,department,0,14.0,0.0
4,2,department,1,14.0,0.0
4,3,community,0,10.0,2.0
4,3,community,1,4.0,0.0
4,3,community,2,10.0,0.0
4,3,community,3,2.0,2.0
4,3,department,0,14.0,0.0
4,3,department,1,14.0,0.0
4,4,community,0,10.0,0.0
4,4,community,1,4.0,2.0
4,4,community,2,8.0,2.0
4,4,community,3,4.0,0.0
4,4,department,0,14.0,0.0
4,4,department,1,14.0,0.0
4,5,community,0,10.0,0.0
4,5,community,1,4.0,0.0
4,5,community,2,10.0,0.0
4,5,community,3,4.0,0.0
4,5,department,0,14.0,0.0
4,5,department,1,14.0,0.0
4,6,community,0,8.0,2.0
4,6,community,1,4.0,0.0
4,6,community,2,10.0,0.0
4,6,community,3,4.0,2.0
4,6,department,0,14.0,0.0
4,6,department,1,14.0,0.0
4,7,community,0,8.0,2.0
4,7,community,1,4.0,0.0
4,7,community,2,10.0,0.0
4,7,community,3,4.0,2.0
4,7,department,0,14.0,0.0
4,7,department,1,14.0,0.0
4,8,community,0,10.0,0.0
4,8,community,1,4.0,0.0
4,8,community,2,10.0,0.0
4,8,community,3,4.0,0.0
4,8,department,0,14.0,0.0
4,8,department,1,14.0,0.0
5,1,community,0,6.0,2.0
5,1,community,1,6.0,2.0
5,1,community,2,4.0,6.0
5,1,community,3,4.0,6.0
5,1,department,0,14.0,0.0
5,1,department,1,14.0,0.0
5,2,community,0,6.0,2.0
5,2,community,1,6.0,2.0
5,2,community,2,8.0,0.0
5,2,community,3,6.0,0.0
5,2,department,0,14.0,0.0
5,2,department,1,14.0,0.0
5,3,community,0,6.0,2.0
5,3,community,1,6.0,2.0
5,3,community,2,8.0,0.0
5,3,community,3,6.0,0.0
5,3,department,0,14.0,0.0
5,3,department,1,14.0,0.0
5,4,community,0,8.0,0.0
5,4,community,1,6.0,0.0
5,4,community,2,6.0,2.0
5,4,community,3,6.0,2.0
5,4,department,0,14.0,0.0
5,4,department,1,14.0,0.0
5,5,community,0,4.0,4.0
5,5,community,1,6.0,4.0
5,5,community,2,8.0,0.0
5,5,community,3,6.0,0.0
5,5,department,0,14.0,0.0
5,5,department,1,14.0,0.0
5,6,community,0,6.0,2.0
5,6,community,1,6.0,2.0
5,6,community,2,8.0,0.0
5,6,community,3,6.0,0.0
5,6,department,0,14.0,0.0
5,6,department,1,14.0,0.0
5,7,community,0,8.0,0.0
5,7,community,1,6.0,0.0
5,7,community,2,8.0,2.0
5,7,community,3,4.0,2.0
5,7,department,0,14.0,0.0
5,7,department,1,14.0,0.0
5,8,community,0,6.0,2.0
5,8,community,1,6.0,2.0
5,8,community,2,6.0,4.0
5,8,community,3,4.0,4.0
5,8,department,0,14.0,0.0
5,8,department,1,14.0,0.0
6,1,community,0,2.0,4.0
6,1,community,1,2.0,2.0
6,1,community,2,8.0,4.0
6,1,community,3,6.0,2.0
6,1,community,4,4.0,0.0
6,1,department,0,14.0,0.0
6,1,department,1,14.0,0.0
6,2,community,0,4.0,2.0
6,2,community,1,4.0,0.0
6,2,community,2,8.0,2.0
6,2,community,3,6.0,0.0
6,2,community,4,4.0,0.0
6,2,department,0,14.0,0.0
6,2,department,1,14.0,0.0
6,3,community,0,4.0,2.0
6,3,community,1,4.0,0.0
6,3,community,2,6.0,6.0
6,3,community,3,4.0,4.0
6,3,community,4,4.0,0.0
6,3,department,0,12.0,4.0
6,3,department,1,12.0,4.0
6,4,community,0,4.0,2.0
6,4,community,1,4.0,0.0
6,4,community,2,8.0,2.0
6,4,community,3,4.0,2.0
6,4,community,4,4.0,2.0
6,4,department,0,14.0,0.0
6,4,department,1,14.0,0.0
6,5,community,0,4.0,0.0
6,5,community,1,4.0,2.0
6,5,community,2,10.0,0.0
6,5,community,3,4.0,2.0
6,5,community,4,4.0,0.0
6,5,department,0,14.0,0.0
6,5,department,1,14.0,0.0
6,6,community,0,4.0,0.0
6,6,community,1,4.0,2.0
6,6,community,2,10.0,0.0
6,6,community,3,4.0,2.0
6,6,community,4,4.0,0.0
6,6,department,0,14.0,0.0
6,6,department,1,14.0,0.0
6,7,community,0,4.0,2.0
6,7,community,1,4.0,0.0
6,7,community,2,8.0,4.0
6,7,community,3,4.0,2.0
6,7,community,4,4.0,0.0
6,7,department,0,14.0,2.0
6,7,department,1,12.0,2.0
6,8,community,0,2.0,4.0
6,8,community,1,4.0,0.0
6,8,community,2,8.0,4.0
6,8,community,3,6.0,0.0
6,8,community,4,4.0,0.0
6,8,department,0,14.0,0.0
6,8,department,1,14.0,0.0
7,1,community,0,4.0,4.0
7,1,community,1,0.0,8.0
7,1,community,2,2.0,6.0
7,1,community,3,6.0,6.0
7,1,community,4,2.0,4.0
7,1,department,0,14.0,0.0
7,1,department,1,14.0,0.0
7,2,community,0,6.0,0.0
7,2,community,1,4.0,0.0
7,2,community,2,2.0,6.0
7,2,community,3,6.0,6.0
7,2,community,4,4.0,0.0
7,2,department,0,14.0,0.0
7,2,department,1,14.0,0.0
7,3,community,0,6.0,0.0
7,3,community,1,4.0,0.0
7,3,community,2,6.0,0.0
7,3,community,3,8.0,0.0
7,3,community,4,4.0,0.0
7,3,department,0,14.0,0.0
7,3,department,1,14.0,0.0
7,4,community,0,4.0,2.0
7,4,community,1,4.0,0.0
7,4,community,2,6.0,0.0
7,4,community,3,8.0,0.0
7,4,community,4,4.0,2.0
7,4,department,0,14.0,0.0
7,4,department,1,14.0,0.0
7,5,community,0,4.0,6.0
7,5,community,1,4.0,0.0
7,5,community,2,4.0,4.0
7,5,community,3,6.0,4.0
7,5,community,4,0.0,6.0
7,5,department,0,14.0,0.0
7,5,department,1,14.0,0.0
7,6,community,0,4.0,2.0
7,6,community,1,4.0,2.0
7,6,community,2,6.0,0.0
7,6,community,3,8.0,0.0
7,6,community,4,4.0,0.0
7,6,department,0,14.0,0.0
7,6,department,1,14.0,0.0
7,7,community,0,4.0,2.0
7,7,community,1,4.0,2.0
7,7,community,2,6.0,0.0
7,7,community,3,8.0,0.0
7,7,community,4,4.0,0.0
7,7,department,0,14.0,0.0
7,7,department,1,14.0,0.0
7,8,community,0,6.0,2.0
7,8,community,1,2.0,2.0
7,8,community,2,6.0,0.0
7,8,community,3,8.0,0.0
7,8,community,4,4.0,0.0
7,8,department,0,14.0,0.0
7,8,department,1,14.0,0.0
8,1,community,0,4.0,0.0
8,1,community,1,14.0,0.0
8,1,community,2,6.0,0.0
8,1,community,3,4.0,0.0
8,1,department,0,14.0,0.0
8,1,department,1,14.0,0.0
8,2,community,0,4.0,2.0
8,2,community,1,14.0,0.0
8,2,community,2,6.0,0.0
8,2,community,3,2.0,2.0
8,2,department,0,14.0,0.0
8,2,department,1,14.0,0.0
8,3,community,0,0.0,8.0
8,3,community,1,14.0,0.0
8,3,community,2,6.0,2.0
8,3,community,3,0.0,6.0
8,3,department,0,14.0,0.0
8,3,department,1,14.0,0.0
8,4,community,0,4.0,2.0
8,4,community,1,14.0,0.0
8,4,community,2,4.0,4.0
8,4,community,3,2.0,2.0
8,4,department,0,14.0,0.0
8,4,department,1,14.0,0.0
8,5,community,0,4.0,0.0
8,5,community,1,14.0,0.0
8,5,community,2,4.0,2.0
8,5,community,3,4.0,2.0
8,5,department,0,14.0,0.0
8,5,department,1,14.0,0.0
8,6,community,0,4.0,0.0
8,6,community,1,12.0,2.0
8,6,community,2,2.0,4.0
8,6,community,3,4.0,6.0
8,6,department,0,12.0,2.0
8,6,department,1,14.0,2.0
8,7,community,0,4.0,0.0
8,7,community,1,14.0,0.0
8,7,community,2,4.0,2.0
8,7,community,3,4.0,2.0
8,7,department,0,14.0,0.0
8,7,department,1,14.0,0.0
8,8,community,0,4.0,0.0
8,8,community,1,14.0,0.0
8,8,community,2,4.0,2.0
8,8,community,3,4.0,2.0
8,8,department,0,14.0,0.0
8,8,department,1,14.0,0.0
9,1,community,0,4.0,6.0
9,1,community,1,4.0,6.0
9,1,community,2,10.0,0.0
9,1,community,3,4.0,0.0
9,1,department,0,14.0,0.0
9,1,department,1,14.0,0.0
9,2,community,0,4.0,4.0
9,2,community,1,6.0,4.0
9,2,community,2,10.0,0.0
9,2,community,3,4.0,0.0
9,2,department,0,14.0,0.0
9,2,department,1,14.0,0.0
9,3,community,0,4.0,2.0
9,3,community,1,8.0,2.0
9,3,community,2,10.0,2.0
9,3,community,3,2.0,2.0
9,3,department,0,14.0,0.0
9,3,department,1,14.0,0.0
9,4,community,0,4.0,4.0
9,4,community,1,6.0,4.0
9,4,community,2,10.0,4.0
9,4,community,3,0.0,4.0
9,4,department,0,14.0,0.0
9,4,department,1,14.0,0.0
9,5,community,0,6.0,2.0
9,5,community,1,6.0,2.0
9,5,community,2,10.0,4.0
9,5,community,3,0.0,4.0
9,5,department,0,14.0,0.0
9,5,department,1,14.0,0.0
9,6,community,0,6.0,2.0
9,6,community,1,6.0,2.0
9,6,community,2,8.0,2.0
9,6,community,3,4.0,2.0
9,6,department,0,14.0,0.0
9,6,department,1,14.0,0.0
9,7,community,0,6.0,0.0
9,7,community,1,8.0,0.0
9,7,community,2,10.0,0.0
9,7,community,3,4.0,0.0
9,7,department,0,14.0,0.0
9,7,department,1,14.0,0.0
9,8,community,0,4.0,4.0
9,8,community,1,6.0,4.0
9,8,community,2,10.0,2.0
9,8,community,3,2.0,2.0
9,8,department,0,14.0,0.0
9,8,department,1,14.0,0.0
10,1,community,0,4.0,2.0
10,1,community,1,2.0,2.0
10,1,community,2,8.0,2.0
10,1,community,3,10.0,2.0
10,1,department,0,14.0,0.0
10,1,department,1,14.0,0.0
10,2,community,0,4.0,0.0
10,2,community,1,4.0,2.0
10,2,community,2,10.0,0.0
10,2,community,3,8.0,2.0
10,2,department,0,14.0,0.0
10,2,department,1,14.0,0.0
10,3,community,0,4.0,0.0
10,3,community,1,4.0,0.0
10,3,community,2,10.0,0.0
10,3,community,3,10.0,0.0
10,3,department,0,14.0,0.0
10,3,department,1,14.0,0.0
10,4,community,0,4.0,0.0
10,4,community,1,4.0,0.0
10,4,community,2,10.0,0.0
10,4,community,3,10.0,0.0
10,4,department,0,14.0,0.0
10,4,department,1,14.0,0.0
10,5,community,0,4.0,0.0
10,5,community,1,4.0,0.0
10,5,community,2,10.0,0.0
10,5,community,3,10.0,0.0
10,5,department,0,14.0,0.0
10,5,department,1,14.0,0.0
10,6,community,0,4.0,2.0
10,6,community,1,4.0,0.0
10,6,community,2,8.0,2.0
10,6,community,3,10.0,0.0
10,6,department,0,14.0,0.0
10,6,department,1,14.0,0.0
10,7,community,0,4.0,0.0
10,7,community,1,4.0,0.0
10,7,community,2,10.0,0.0
10,7,community,3,10.0,0.0
10,7,department,0,14.0,0.0
10,7,department,1,14.0,0.0
10,8,community,0,4.0,2.0
10,8,community,1,4.0,0.0
10,8,community,2,8.0,2.0
10,8,community,3,10.0,0.0
10,8,department,0,14.0,0.0
10,8,department,1,14.0,0.0
11,1,community,0,4.0,2.0
11,1,community,1,8.0,2.0
11,1,community,2,4.0,2.0
11,1,community,3,4.0,2.0
11,1,community,4,4.0,0.0
11,1,department,0,14.0,0.0
11,1,department,1,14.0,0.0
11,2,community,0,4.0,4.0
11,2,community,1,8.0,2.0
11,2,community,2,4.0,2.0
11,2,community,3,0.0,6.0
11,2,community,4,4.0,2.0
11,2,department,0,14.0,2.0
11,2,department,1,12.0,2.0
11,3,community,0,6.0,4.0
11,3,community,1,6.0,2.0
11,3,community,2,4.0,0.0
11,3,community,3,2.0,4.0
11,3,community,4,4.0,2.0
11,3,department,0,14.0,2.0
11,3,department,1,12.0,2.0
11,4,community,0,6.0,0.0
11,4,community,1,8.0,0.0
11,4,community,2,4.0,0.0
11,4,community,3,6.0,0.0
11,4,community,4,4.0,0.0
11,4,department,0,14.0,0.0
11,4,department,1,14.0,0.0
11,5,community,0,0.0,8.0
11,5,community,1,6.0,8.0
11,5,community,2,4.0,2.0
11,5,community,3,4.0,2.0
11,5,community,4,4.0,0.0
11,5,department,0,14.0,0.0
11,5,department,1,14.0,0.0
11,6,community,0,2.0,8.0
11,6,community,1,4.0,8.0
11,6,community,2,2.0,4.0
11,6,community,3,4.0,2.0
11,6,community,4,4.0,2.0
11,6,department,0,14.0,0.0
11,6,department,1,14.0,0.0
11,7,community,0,6.0,0.0
11,7,community,1,8.0,0.0
11,7,community,2,4.0,0.0
11,7,community,3,6.0,0.0
11,7,community,4,4.0,0.0
11,7,department,0,14.0,0.0
11,7,department,1,14.0,0.0
11,8,community,0,6.0,0.0
11,8,community,1,8.0,0.0
11,8,community,2,4.0,0.0
11,8,community,3,6.0,0.0
11,8,community,4,4.0,0.0
11,8,department,0,14.0,0.0
11,8,department,1,14.0,0.0
12,1,community,0,4.0,4.0
12,1,community,1,4.0,0.0
12,1,community,2,4.0,2.0
12,1,community,3,8.0,2.0
12,1,community,4,4.0,0.0
12,1,department,0,14.0,2.0
12,1,department,1,12.0,2.0
12,2,community,0,4.0,2.0
12,2,community,1,4.0,0.0
12,2,community,2,4.0,2.0
12,2,community,3,8.0,2.0
12,2,community,4,4.0,2.0
12,2,department,0,14.0,0.0
12,2,department,1,14.0,0.0
12,3,community,0,2.0,2.0
12,3,community,1,2.0,4.0
12,3,community,2,4.0,6.0
12,3,community,3,10.0,0.0
12,3,community,4,4.0,0.0
12,3,department,0,14.0,0.0
12,3,department,1,14.0,0.0
12,4,community,0,4.0,0.0
12,4,community,1,4.0,2.0
12,4,community,2,4.0,2.0
12,4,community,3,10.0,0.0
12,4,community,4,4.0,0.0
12,4,department,0,14.0,0.0
12,4,department,1,14.0,0.0
12,5,community,0,4.0,2.0
12,5,community,1,4.0,0.0
12,5,community,2,4.0,2.0
12,5,community,3,10.0,0.0
12,5,community,4,4.0,0.0
12,5,department,0,14.0,0.0
12,5,department,1,14.0,0.0
12,6,community,0,4.0,0.0
12,6,community,1,4.0,0.0
12,6,community,2,6.0,0.0
12,6,community,3,8.0,2.0
12,6,community,4,4.0,2.0
12,6,department,0,14.0,0.0
12,6,department,1,14.0,0.0
12,7,community,0,4.0,0.0
12,7,community,1,4.0,0.0
12,7,community,2,6.0,0.0
12,7,community,3,8.0,2.0
12,7,community,4,4.0,2.0
12,7,department,0,14.0,0.0
12,7,department,1,14.0,0.0
12,8,community,0,4.0,0.0
12,8,community,1,4.0,0.0
12,8,community,2,6.0,0.0
12,8,community,3,10.0,0.0
12,8,community,4,4.0,0.0
12,8,department,0,14.0,0.0
12,8,department,1,14.0,0.0
13,1,community,0,6.0,2.0
13,1,community,1,4.0,6.0
13,1,community,2,4.0,6.0
13,1,community,3,6.0,2.0
13,1,department,0,14.0,0.0
13,1,department,1,14.0,0.0
13,2,community,0,4.0,6.0
13,2,community,1,8.0,2.0
13,2,community,2,4.0,2.0
13,2,community,3,4.0,6.0
13,2,department,0,14.0,0.0
13,2,department,1,14.0,0.0
13,3,community,0,6.0,2.0
13,3,community,1,6.0,2.0
13,3,community,2,6.0,2.0
13,3,community,3,6.0,2.0
13,3,department,0,14.0,0.0
13,3,department,1,14.0,0.0
13,4,community,0,6.0,4.0
13,4,community,1,6.0,4.0
13,4,community,2,4.0,4.0
13,4,community,3,4.0,4.0
13,4,department,0,14.0,0.0
13,4,department,1,14.0,0.0
13,5,community,0,8.0,0.0
13,5,community,1,8.0,0.0
13,5,community,2,6.0,0.0
13,5,community,3,6.0,0.0
13,5,department,0,14.0,0.0
13,5,department,1,14.0,0.0
13,6,community,0,6.0,2.0
13,6,community,1,8.0,0.0
13,6,community,2,6.0,0.0
13,6,community,3,6.0,2.0
13,6,department,0,14.0,0.0
13,6,department,1,14.0,0.0
13,7,community,0,4.0,6.0
13,7,community,1,6.0,2.0
13,7,community,2,6.0,2.0
13,7,community,3,4.0,6.0
13,7,department,0,14.0,0.0
13,7,department,1,14.0,0.0
13,8,community,0,8.0,0.0
13,8,community,1,4.0,6.0
13,8,community,2,4.0,6.0
13,8,community,3,6.0,0.0
13,8,department,0,14.0,0.0
13,8,department,1,14.0,0.0
14,1,community,0,4.0,2.0
14,1,community,1,8.0,2.0
14,1,community,2,6.0,0.0
14,1,community,3,8.0,0.0
14,1,department,0,14.0,0.0
14,1,department,1,14.0,0.0
14,2,community,0,2.0,8.0
14,2,community,1,4.0,8.0
14,2,community,2,4.0,2.0
14,2,community,3,8.0,2.0
14,2,department,0,14.0,0.0
14,2,department,1,14.0,0.0
14,3,community,0,2.0,6.0
14,3,community,1,6.0,6.0
14,3,community,2,6.0,0.0
14,3,community,3,8.0,0.0
14,3,department,0,14.0,0.0
14,3,department,1,14.0,0.0
14,4,community,0,6.0,0.0
14,4,community,1,8.0,0.0
14,4,community,2,2.0,4.0
14,4,community,3,8.0,4.0
14,4,department,0,14.0,0.0
14,4,department,1,14.0,0.0
14,5,community,0,4.0,4.0
14,5,community,1,8.0,2.0
14,5,community,2,4.0,4.0
14,5,community,3,4.0,6.0
14,5,department,0,14.0,2.0
14,5,department,1,12.0,2.0
14,6,community,0,4.0,4.0
14,6,community,1,8.0,0.0
14,6,community,2,6.0,0.0
14,6,community,3,6.0,4.0
14,6,department,0,12.0,4.0
14,6,department,1,12.0,4.0
14,7,community,0,4.0,2.0
14,7,community,1,8.0,2.0
14,7,community,2,6.0,0.0
14,7,community,3,8.0,0.0
14,7,department,0,14.0,0.0
14,7,department,1,14.0,0.0
14,8,community,0,4.0,4.0
14,8,community,1,6.0,4.0
14,8,community,2,6.0,0.0
14,8,community,3,8.0,0.0
14,8,department,0,14.0,0.0
14,8,department,1,14.0,0.0
15,1,community,0,8.0,0.0
15,1,community,1,6.0,0.0
15,1,community,2,14.0,0.0
15,1,department,0,14.0,0.0
15,1,department,1,14.0,0.0
15,2,community,0,6.0,2.0
15,2,community,1,6.0,2.0
15,2,community,2,14.0,0.0
15,2,department,0,14.0,0.0
15,2,department,1,14.0,0.0
15,3,community,0,6.0,6.0
15,3,community,1,2.0,6.0
15,3,community,2,14.0,0.0
15,3,department,0,14.0,0.0
15,3,department,1,14.0,0.0
15,4,community,0,6.0,4.0
15,4,community,1,4.0,4.0
15,4,community,2,14.0,0.0
15,4,department,0,14.0,0.0
15,4,department,1,14.0,0.0
15,5,community,0,8.0,2.0
15,5,community,1,4.0,2.0
15,5,community,2,14.0,0.0
15,5,department,0,14.0,0.0
15,5,department,1,14.0,0.0
15,6,community,0,8.0,2.0
15,6,community,1,4.0,2.0
15,6,community,2,14.0,0.0
15,6,department,0,14.0,0.0
15,6,department,1,14.0,0.0
15,7,community,0,8.0,2.0
15,7,community,1,4.0,2.0
15,7,community,2,14.0,0.0
15,7,department,0,14.0,0.0
15,7,department,1,14.0,0.0
15,8,community,0,6.0,6.0
15,8,community,1,2.0,6.0
15,8,community,2,14.0,0.0
15,8,department,0,14.0,0.0
15,8,department,1,14.0,0.0
16,1,community,0,4.0,0.0
16,1,community,1,8.0,2.0
16,1,community,2,4.0,2.0
16,1,community,3,10.0,0.0
16,1,department,0,14.0,0.0
16,1,department,1,14.0,0.0
16,2,community,0,4.0,0.0
16,2,community,1,10.0,4.0
16,2,community,2,2.0,2.0
16,2,community,3,8.0,2.0
16,2,department,0,14.0,2.0
16,2,department,1,12.0,2.0
16,3,community,0,4.0,0.0
16,3,community,1,8.0,2.0
16,3,community,2,4.0,2.0
16,3,community,3,10.0,0.0
16,3,department,0,14.0,0.0
16,3,department,1,14.0,0.0
16,4,community,0,4.0,2.0
16,4,community,1,10.0,0.0
16,4,community,2,4.0,0.0
16,4,community,3,8.0,2.0
16,4,department,0,14.0,0.0
16,4,department,1,14.0,0.0
16,5,community,0,4.0,0.0
16,5,community,1,10.0,0.0
16,5,community,2,4.0,0.0
16,5,community,3,10.0,0.0
16,5,department,0,14.0,0.0
16,5,department,1,14.0,0.0
16,6,community,0,4.0,0.0
16,6,community,1,10.0,0.0
16,6,community,2,4.0,0.0
16,6,community,3,10.0,0.0
16,6,department,0,14.0,0.0
16,6,department,1,14.0,0.0
16,7,community,0,4.0,0.0
16,7,community,1,10.0,0.0
16,7,community,2,4.0,0.0
16,7,community,3,10.0,0.0
16,7,department,0,14.0,0.0
16,7,department,1,14.0,0.0
16,8,community,0,0.0,4.0
16,8,community,1,10.0,0.0
16,8,community,2,4.0,0.0
16,8,community,3,10.0,4.0
16,8,department,0,14.0,0.0
16,8,department,1,14.0,0.0
17,1,community,0,14.0,0.0
17,1,community,1,4.0,0.0
17,1,community,2,10.0,0.0
17,1,department,0,14.0,0.0
17,1,department,1,14.0,0.0
17,2,community,0,14.0,0.0
17,2,community,1,4.0,0.0
17,2,community,2,10.0,0.0
17,2,department,0,14.0,0.0
17,2,department,1,14.0,0.0
17,3,community,0,14.0,0.0
17,3,community,1,4.0,6.0
17,3,community,2,4.0,6.0
17,3,department,0,14.0,0.0
17,3,department,1,14.0,0.0
17,4,community,0,14.0,0.0
17,4,community,1,4.0,2.0
17,4,community,2,8.0,2.0
17,4,department,0,14.0,0.0
17,4,department,1,14.0,0.0
17,5,community,0,14.0,0.0
17,5,community,1,2.0,4.0
17,5,community,2,8.0,4.0
17,5,department,0,14.0,0.0
17,5,department,1,14.0,0.0
17,6,community,0,14.0,0.0
17,6,community,1,4.0,0.0
17,6,community,2,10.0,0.0
17,6,department,0,14.0,0.0
17,6,department,1,14.0,0.0
17,7,community,0,14.0,0.0
17,7,community,1,0.0,4.0
17,7,community,2,10.0,4.0
17,7,department,0,14.0,0.0
17,7,department,1,14.0,0.0
17,8,community,0,14.0,0.0
17,8,community,1,4.0,2.0
17,8,community,2,8.0,2.0
17,8,department,0,14.0,0.0
17,8,department,1,14.0,0.0
18,1,community,0,8.0,0.0
18,1,community,1,6.0,0.0
18,1,community,2,4.0,0.0
18,1,community,3,10.0,0.0
18,1,department,0,14.0,0.0
18,1,department,1,14.0,0.0
18,2,community,0,8.0,0.0
18,2,community,1,6.0,0.0
18,2,community,2,4.0,2.0
18,2,community,3,8.0,2.0
18,2,department,0,14.0,0.0
18,2,department,1,14.0,0.0
18,3,community,0,8.0,0.0
18,3,community,1,6.0,0.0
18,3,community,2,4.0,0.0
18,3,community,3,10.0,0.0
18,3,department,0,14.0,0.0
18,3,department,1,14.0,0.0
18,4,community,0,6.0,2.0
18,4,community,1,6.0,2.0
18,4,community,2,4.0,0.0
18,4,community,3,10.0,0.0
18,4,department,0,14.0,0.0
18,4,department,1,14.0,0.0
18,5,community,0,8.0,2.0
18,5,community,1,4.0,2.0
18,5,community,2,4.0,0.0
18,5,community,3,10.0,0.0
18,5,department,0,14.0,0.0
18,5,department,1,14.0,0.0
18,6,community,0,4.0,6.0
